node,T_K,state,t_rel_s,G_uA_um,G_over_plateau,phase,plateau_uA_um,plateau_spread_pct
t12_ret,300,programmed,0.005949998,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.006399998,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.006399998,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.006849997,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.006849997,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.007299997,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.007299997,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.007749997,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.007749997,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.008199997,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.008199997,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.008649997,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.008649997,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.009099996,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.009099996,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.009549996,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.009549996,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.009999996,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.009999996,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret400,400,programmed,5e-09,5.179075,0.6558853874929699,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,5e-09,5.179075,0.6558853874929699,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,1e-08,5.253858,0.6653560124468249,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,1e-08,5.253858,0.6653560124468249,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,1.5e-08,5.298155,0.6709658472165041,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,1.5e-08,5.298155,0.6709658472165041,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,2e-08,5.335114,0.6756463872813521,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,2e-08,5.335114,0.6756463872813521,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,2.5e-08,5.370229,0.6800934005765478,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,2.5e-08,5.370229,0.6800934005765478,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,3e-08,5.40486,0.6844791194267805,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,3e-08,5.40486,0.6844791194267805,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,3.5e-08,5.439364,0.6888487548172811,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,3.5e-08,5.439364,0.6888487548172811,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,4e-08,5.473846,0.6932156040966472,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,4e-08,5.473846,0.6932156040966472,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,4.5e-08,5.508336,0.6975834665073348,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,4.5e-08,5.508336,0.6975834665073348,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,5e-08,5.542844,0.7019536084634964,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,5e-08,5.542844,0.7019536084634964,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,5.5e-08,5.577373,0.7063264098893774,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,5.5e-08,5.577373,0.7063264098893774,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,6e-08,5.611922,0.7107017441435627,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,6e-08,5.611922,0.7107017441435627,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,6.5e-08,5.646492,0.7150797378674675,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,6.5e-08,5.646492,0.7150797378674675,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,7e-08,5.68108,0.719460011136846,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,7e-08,5.68108,0.719460011136846,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,7.5e-08,5.715686,0.7238425639516984,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,7.5e-08,5.715686,0.7238425639516984,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,8e-08,5.750307,0.7282270163877791,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,8e-08,5.750307,0.7282270163877791,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,8.5e-08,5.784942,0.7326132418036726,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,8.5e-08,5.784942,0.7326132418036726,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,9e-08,5.81959,0.7370011135579639,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,9e-08,5.81959,0.7370011135579639,settling,7.896311,0.955142217676082
t12_ret400,400,programmed,9.5e-08,5.854249,0.7413903783678227,settling,7.896311,0.955142217676082
