series,overdrive_V,I_over_Ion,Vt_V,Ion_A
"TCAD, erased",-3.057173599810187,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.037173599810247,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-3.017173599810297,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.997173599810347,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.977173599810407,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.957173599810457,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.937173599810507,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.917173599810567,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.897173599810617,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.877173599810677,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.857173599810727,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.837173599810777,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.817173599810837,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.797173599810887,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.777173599810937,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.757173599810997,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.737173599811047,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.717173599811107,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.697173599811157,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.677173599811207,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.657173599811267,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.637173599811317,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.617173599811367,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.597173599811427,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.577173599811477,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.557173599811537,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.537173599811587,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.517173599811637,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.497173599811697,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.477173599811747,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.457173599811797,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.437173599811857,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.417173599811907,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.3971735998119668,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.377173599812017,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.357173599812067,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.337173599812127,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.317173599812177,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.297173599812227,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.2771735998122873,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.257173599812337,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.237173599812397,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.217173599812447,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.1971735998124973,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.177173599812557,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.157173599812607,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.137173599812657,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.117173599812717,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.097173599812767,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.077173599812827,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.0571735998128773,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.037173599812927,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-2.017173599812987,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.997173599813037,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.9771735998130873,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.9571735998131472,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.9371735998131971,,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",-1.9171735998132573,,0.35717359980803715,1.0709819098929524e-06
