Vg_V,I_A,state,series
-1.48000000000543,1.3701208729043858e-09,erased,TCAD
-1.46000000000549,1.3677385426516042e-09,erased,TCAD
-1.44000000000554,1.3652986317135348e-09,erased,TCAD
-1.42000000000559,1.3627985640046594e-09,erased,TCAD
-1.40000000000565,1.360235520776202e-09,erased,TCAD
-1.3800000000057,1.357606584177866e-09,erased,TCAD
-1.36000000000575,1.3549085665231505e-09,erased,TCAD
-1.34000000000581,1.3521381445919123e-09,erased,TCAD
-1.32000000000586,1.3492916392865485e-09,erased,TCAD
-1.30000000000592,1.3463652660173735e-09,erased,TCAD
-1.28000000000597,1.3433547551607145e-09,erased,TCAD
-1.26000000000602,1.3402557781360826e-09,erased,TCAD
-1.24000000000608,1.3370632573422087e-09,erased,TCAD
-1.22000000000613,1.3337721129429532e-09,erased,TCAD
-1.20000000000618,1.3303762361682328e-09,erased,TCAD
-1.18000000000624,1.326869948131432e-09,erased,TCAD
-1.16000000000629,1.323246175763967e-09,erased,TCAD
-1.14000000000635,1.3194979439868939e-09,erased,TCAD
-1.1200000000064,1.3156170388028663e-09,erased,TCAD
-1.10000000000645,1.3115948572721519e-09,erased,TCAD
-1.08000000000651,1.3074218913466444e-09,erased,TCAD
-1.06000000000656,1.3030877245536184e-09,erased,TCAD
-1.04000000000661,1.2985808066939067e-09,erased,TCAD
-1.02000000000667,1.2938882660909555e-09,erased,TCAD
-1.00000000000672,1.2889947445221777e-09,erased,TCAD
-0.980000000006776,1.2838853480919362e-09,erased,TCAD
-0.96000000000683,1.2785419074815622e-09,erased,TCAD
-0.940000000006883,1.2729419110210986e-09,erased,TCAD
-0.920000000006937,1.2670631474387278e-09,erased,TCAD
-0.900000000006991,1.2608766250365281e-09,erased,TCAD
-0.880000000007045,1.2543520766097917e-09,erased,TCAD
-0.860000000007099,1.2474535574453919e-09,erased,TCAD
-0.840000000007152,1.240136874252165e-09,erased,TCAD
-0.820000000007206,1.2323500469711115e-09,erased,TCAD
-0.80000000000726,1.224031294026115e-09,erased,TCAD
-0.780000000007314,1.2151071022189422e-09,erased,TCAD
-0.760000000007368,1.2054904299486685e-09,erased,TCAD
-0.740000000007421,1.195079404323434e-09,erased,TCAD
-0.720000000007475,1.1837566671264867e-09,erased,TCAD
-0.700000000007529,1.1713885761371822e-09,erased,TCAD
-0.680000000007583,1.1578214728425604e-09,erased,TCAD
-0.660000000007636,1.1428696090059348e-09,erased,TCAD
-0.64000000000769,1.1262874484422866e-09,erased,TCAD
-0.620000000007744,1.1077194322832897e-09,erased,TCAD
-0.600000000007798,1.0866224675882351e-09,erased,TCAD
-0.580000000007852,1.06215911857789e-09,erased,TCAD
-0.560000000007905,1.033065310108721e-09,erased,TCAD
-0.540000000007959,9.975150124171402e-10,erased,TCAD
-0.520000000008013,9.530505606812884e-10,erased,TCAD
-0.500000000008066,8.967289180688005e-10,erased,TCAD
-0.48000000000812,8.257146786709665e-10,erased,TCAD
-0.460000000008174,7.384896795610893e-10,erased,TCAD
-0.440000000008228,6.36440386392127e-10,erased,TCAD
-0.420000000008282,5.248932661869984e-10,erased,TCAD
-0.400000000008335,4.1247198985618674e-10,erased,TCAD
-0.380000000008389,3.085387691787739e-10,erased,TCAD
-0.360000000008443,2.2018704847590727e-10,erased,TCAD
-0.340000000008497,1.505575146574139e-10,erased,TCAD
-0.320000000008551,9.909427828370633e-11,erased,TCAD
-0.300000000008604,6.297829352700453e-11,erased,TCAD
-0.280000000008658,3.8641614584355426e-11,erased,TCAD
-0.260000000008712,2.275706535870083e-11,erased,TCAD
-0.240000000008766,1.2655363974361001e-11,erased,TCAD
-0.220000000008819,6.374776141383539e-12,erased,TCAD
-0.200000000008873,2.5525501214753e-12,erased,TCAD
-0.180000000008927,2.822803072190384e-13,erased,TCAD
-0.160000000008981,1.0115182947088725e-12,erased,TCAD
-0.140000000009035,1.6669386080737016e-12,erased,TCAD
-0.120000000009088,1.8442398417312156e-12,erased,TCAD
-0.100000000009142,1.5538315586439669e-12,erased,TCAD
-0.0800000000091958,6.621344351497478e-13,erased,TCAD
-0.0600000000092495,1.099279060752828e-12,erased,TCAD
