cycle,phase,pulse,segment,E_gate_J,E_drain_J,E_total_J,n_samples
9,fire,4,read,7.402761e-17,3.696482e-18,7.772409e-17,21
9,fire,5,rise,2.574490e-16,5.379019e-16,7.953508e-16,30
9,fire,5,write,3.611274e-15,1.230989e-13,1.267101e-13,11
9,fire,5,fall,-2.648747e-16,5.488378e-16,2.839630e-16,30
9,fire,5,read,7.403026e-17,3.696613e-18,7.772688e-17,21
9,fire,6,rise,2.575286e-16,5.384407e-16,7.959693e-16,30
9,fire,6,write,3.611374e-15,1.231219e-13,1.267333e-13,11
9,fire,6,fall,-2.649426e-16,5.494080e-16,2.844654e-16,30
9,fire,6,read,7.403350e-17,3.696773e-18,7.773028e-17,21
9,fire,7,rise,2.576173e-16,5.390423e-16,7.966596e-16,30
9,fire,7,write,3.611481e-15,1.231475e-13,1.267589e-13,11
9,fire,7,fall,-2.650170e-16,5.500346e-16,2.850176e-16,30
9,fire,7,read,7.403702e-17,3.696946e-18,7.773396e-17,21
9,fire,8,rise,2.577134e-16,5.396958e-16,7.974092e-16,30
9,fire,8,write,3.611597e-15,1.231751e-13,1.267867e-13,11
9,fire,8,fall,-2.650971e-16,5.507115e-16,2.856145e-16,30
9,fire,8,read,7.404089e-17,3.697135e-18,7.773802e-17,21
9,fire,9,rise,2.578179e-16,5.404090e-16,7.982269e-16,30
9,fire,9,write,3.611728e-15,1.232053e-13,1.268171e-13,11
9,fire,9,fall,-2.651845e-16,5.514593e-16,2.862748e-16,30
9,fire,9,read,7.404555e-17,3.697366e-18,7.774292e-17,21
9,erase,0,rise,3.567394e-16,2.850625e-18,3.595900e-16,30
9,erase,0,hold,1.147568e-14,4.805371e-17,1.152374e-14,41
9,erase,0,fall,-1.631541e-15,3.727533e-19,-1.631168e-15,31
9,relax,0,hold,-1.991491e-14,2.479235e-16,-1.966698e-14,71
10,fire,1,rise,2.653812e-16,5.440209e-16,8.094022e-16,30
10,fire,1,write,3.610964e-15,1.230443e-13,1.266552e-13,11
10,fire,1,fall,-2.647059e-16,5.474196e-16,2.827138e-16,30
10,fire,1,read,7.402511e-17,3.696361e-18,7.772147e-17,21
10,fire,2,rise,2.572885e-16,5.368200e-16,7.941086e-16,30
10,fire,2,write,3.611023e-15,1.230507e-13,1.266617e-13,11
10,fire,2,fall,-2.647283e-16,5.476085e-16,2.828802e-16,30
