file,cycle,pulse,segment,t_start,t_end,E_gate_J,E_drain_J,E_total_J,n_samples
c2_p5_fall_cyclic_vm6_des.plt,2,5,fall,8.274700e-05,8.274800e-05,-2.624428e-16,5.281122e-16,2.656694e-16,30
c2_p5_read_cyclic_vm10_des.plt,2,5,read,8.274800e-05,8.284800e-05,7.497979e-17,3.742987e-18,7.872278e-17,21
c2_p5_read_cyclic_vm4_des.plt,2,5,read,8.274800e-05,8.284800e-05,7.451101e-17,3.720212e-18,7.823122e-17,21
c2_p5_read_cyclic_vm6_des.plt,2,5,read,8.274800e-05,8.284800e-05,7.391661e-17,3.690964e-18,7.760757e-17,21
c2_p5_rise_cyclic_vm10_des.plt,2,5,rise,8.264600e-05,8.264700e-05,2.723772e-16,6.517985e-16,9.241758e-16,30
c2_p5_rise_cyclic_vm4_des.plt,2,5,rise,8.264600e-05,8.264700e-05,2.656439e-16,6.031622e-16,8.688060e-16,30
c2_p5_rise_cyclic_vm6_des.plt,2,5,rise,8.264600e-05,8.264700e-05,2.543745e-16,5.173335e-16,7.717080e-16,30
c2_p5_write_cyclic_vm10_des.plt,2,5,write,8.264700e-05,8.274700e-05,3.627678e-15,1.275129e-13,1.311406e-13,11
c2_p5_write_cyclic_vm4_des.plt,2,5,write,8.264700e-05,8.274700e-05,3.619801e-15,1.255316e-13,1.291514e-13,11
c2_p5_write_cyclic_vm6_des.plt,2,5,write,8.264700e-05,8.274700e-05,3.608558e-15,1.222749e-13,1.258834e-13,11
c2_p6_fall_cyclic_vm10_des.plt,2,6,fall,8.294900e-05,8.295000e-05,-2.768675e-16,6.646332e-16,3.877657e-16,30
c2_p6_fall_cyclic_vm4_des.plt,2,6,fall,8.294900e-05,8.295000e-05,-2.713233e-16,6.177189e-16,3.463956e-16,30
c2_p6_fall_cyclic_vm6_des.plt,2,6,fall,8.294900e-05,8.295000e-05,-2.625494e-16,5.289782e-16,2.664288e-16,30
c2_p6_read_cyclic_vm10_des.plt,2,6,read,8.295000e-05,8.305000e-05,7.498447e-17,3.743209e-18,7.872768e-17,21
c2_p6_read_cyclic_vm4_des.plt,2,6,read,8.295000e-05,8.305000e-05,7.452367e-17,3.720816e-18,7.824448e-17,21
c2_p6_read_cyclic_vm6_des.plt,2,6,read,8.295000e-05,8.305000e-05,7.392004e-17,3.691133e-18,7.761117e-17,21
c2_p6_rise_cyclic_vm10_des.plt,2,6,rise,8.284800e-05,8.284900e-05,2.724421e-16,6.524650e-16,9.249071e-16,30
c2_p6_rise_cyclic_vm4_des.plt,2,6,rise,8.284800e-05,8.284900e-05,2.658772e-16,6.051485e-16,8.710257e-16,30
c2_p6_rise_cyclic_vm6_des.plt,2,6,rise,8.284800e-05,8.284900e-05,2.544898e-16,5.180629e-16,7.725527e-16,30
c2_p6_write_cyclic_vm10_des.plt,2,6,write,8.284900e-05,8.294900e-05,3.627770e-15,1.275346e-13,1.311624e-13,11
c2_p6_write_cyclic_vm4_des.plt,2,6,write,8.284900e-05,8.294900e-05,3.620136e-15,1.256070e-13,1.292271e-13,11
c2_p6_write_cyclic_vm6_des.plt,2,6,write,8.284900e-05,8.294900e-05,3.608744e-15,1.223084e-13,1.259172e-13,11
c2_p7_fall_cyclic_vm10_des.plt,2,7,fall,8.315100e-05,8.315200e-05,-2.769206e-16,6.654274e-16,3.885068e-16,30
c2_p7_fall_cyclic_vm4_des.plt,2,7,fall,8.315100e-05,8.315200e-05,-2.715257e-16,6.200600e-16,3.485343e-16,30
c2_p7_fall_cyclic_vm6_des.plt,2,7,fall,8.315100e-05,8.315200e-05,-2.626800e-16,5.300555e-16,2.673755e-16,30
c2_p7_read_cyclic_vm10_des.plt,2,7,read,8.315200e-05,8.325200e-05,7.498993e-17,3.743469e-18,7.873339e-17,21
