timestep,Normal,Epileptic
957,0.4227357,0.5772643
958,0.42644855,0.5735514
959,0.42998806,0.5700119
960,0.43336156,0.5666384
961,0.4266528,0.57334715
962,0.43018275,0.56981725
963,0.43354714,0.5664529
964,0.43675303,0.56324697
965,0.4398075,0.56019247
966,0.44271722,0.55728275
967,0.40475217,0.5952478
968,0.40929306,0.59070694
969,0.38091162,0.6190884
970,0.38651395,0.61348605
971,0.39187106,0.60812896
972,0.39699113,0.60300887
973,0.4018825,0.5981175
974,0.3747375,0.6252625
975,0.38771582,0.6122842
976,0.39301994,0.60698
977,0.37182477,0.6281752
978,0.37781876,0.62218124
979,0.38355523,0.61644477
980,0.4122611,0.5877389
981,0.4164588,0.5835412
982,0.42046297,0.579537
983,0.42428163,0.57571834
984,0.4279224,0.5720776
985,0.4313929,0.56860715
986,0.4347003,0.5652997
987,0.43785182,0.5621482
988,0.44085428,0.55914575
989,0.46769828,0.5323017
990,0.46926987,0.5307301
991,0.47076532,0.52923465
992,0.47218838,0.52781165
993,0.47354242,0.5264576
994,0.47483072,0.52516925
995,0.47605652,0.5239434
996,0.47722286,0.5227772
997,0.47833243,0.52166754
998,0.50355494,0.4964451
999,0.50338155,0.4966185
1000,0.50321656,0.49678338
1001,0.5030597,0.49694028
1002,0.50291044,0.49708956
